Field Name,Title,Type,Required,Multiple,In UI,Category,Priority,Notes
ufCrm6Citizenship,Citizenship Status,enumeration,Yes,No,No,Personal Information,Critical,US Citizen/Permanent Resident/Work Visa/Other
ufCrm6ProfilePhoto,Profile Photo,file,No,No,No,Personal Information,Medium,
ufCrm6WorkPosition,Position,string,Yes,No,Yes,Employment Details,Current,
ufCrm6WorkPhone,Work Cellphone,string,No,No,No,Company Information,High,12 chars
ufCrm6PersonalPhone,Direct Office Phone,string,No,No,No,Company Information,High,12 chars
ufCrm6EmploymentType,Employment Type,enumeration,Yes,No,Yes,Employment Details,Current,Full-Time/Part-Time/Contract/Temporary/Intern/Seasonal
ufCrm6PayRate,Pay Rate/Salary,string,No,No,No,Compensation & Benefits,High,SENSITIVE
ufCrm6BenefitsEligible,Benefits Eligible,boolean,No,No,No,Compensation & Benefits,High,
ufCrm6PtoDays,PTO Days Allocated,string,No,No,Yes,Compensation & Benefits,Current,
ufCrm6ReviewDate,Performance Review Date,date,No,Yes,No,Employment Details,Medium,Multiple dates
ufCrm6TerminationDate,Termination Date,date,No,No,No,Employment Details,Medium,
ufCrm6RehireEligible,Rehire Eligible,boolean,No,No,No,Employment Details,Medium,
ufCrm6HiringPaperwork,Hiring Paperwork,file,Yes,Yes,No,Documents & Attachments,Critical,Multiple files
ufCrm6BackgroundCheck,Background Check,file,No,No,No,Documents & Attachments,Medium,
ufCrm6DrugTest,Drug Test Results,file,No,Yes,No,Documents & Attachments,Medium,Multiple files
ufCrm6Nda,NDA Agreement,file,No,No,No,Documents & Attachments,Medium,
ufCrm6Noncompete,Non-Compete Agreement,file,No,No,No,Documents & Attachments,Medium,
ufCrm6HandbookAck,Employee Handbook Acknowledgment,file,Yes,No,No,Documents & Attachments,Critical,
ufCrm6WorkVisa,Work Visa/Permit,file,No,No,No,Personal Information,Medium,
ufCrm6VisaExpiry,Work Authorization Expiry,date,No,No,No,Personal Information,Medium,
ufCrm6BankName,Bank Name,string,No,No,No,Compensation & Benefits,High,
ufCrm6BankAccountName,Bank Account Holder Name,string,No,No,No,Compensation & Benefits,High,
ufCrm6BankAccountType,Bank Account Type,enumeration,No,No,No,Compensation & Benefits,High,Checking/Savings/Money Market
ufCrm6BankRouting,Bank Routing Number,string,No,No,No,Compensation & Benefits,High,SENSITIVE
ufCrm6BankAccountNumber,Bank Account Number,string,No,No,No,Compensation & Benefits,High,SENSITIVE
ufCrm6DirectDeposit,Direct Deposit Authorization,file,No,No,No,Compensation & Benefits,High,
ufCrm6HealthInsurance,Health Insurance Enrollment,file,No,No,Yes,Compensation & Benefits,TypeFix,TYPE MISMATCH - Currently integer in UI
ufCrm_6_401K_ENROLLMENT,401k Enrollment,file,No,No,Yes,Compensation & Benefits,TypeFix,TYPE MISMATCH - Currently integer in UI
ufCrm6LifeBeneficiaries,Life Insurance Beneficiaries,string,No,No,No,Compensation & Benefits,Medium,
ufCrm6TaxFilingStatus,Tax Filing Status,enumeration,Yes,No,No,Compensation & Benefits,Critical,Single/Married Filing Jointly/Married Filing Separately/Head of Household
ufCrm6DependentsInfo,Dependents Information,string,No,Yes,No,Compensation & Benefits,Medium,Multiple values
ufCrm6DependentNames,Dependent Names,string,No,Yes,No,Compensation & Benefits,Medium,Multiple values
ufCrm6DependentSsns,Dependent SSNs,string,No,Yes,No,Compensation & Benefits,Medium,Multiple values - SENSITIVE
ufCrm6DependentRelationships,Dependent Relationships,string,No,Yes,No,Compensation & Benefits,Medium,Multiple values
ufCrm6AdditionalFedWithhold,Additional Federal Withholding,string,No,No,No,Compensation & Benefits,Medium,
ufCrm6AdditionalStateWithhold,Additional State Withholding,string,No,No,No,Compensation & Benefits,Medium,
ufCrm6MultipleJobsWorksheet,Multiple Jobs Worksheet,file,No,No,No,Compensation & Benefits,Medium,
ufCrm6DeductionsWorksheet,Deductions Worksheet,file,No,No,No,Compensation & Benefits,Medium,
ufCrm_6_W4_EXEMPTIONS,W-4 Exemptions Claimed,string,No,No,No,Compensation & Benefits,Medium,
ufCrm6EquipmentAssigned,Equipment Assigned,enumeration,No,Yes,Yes,IT & Equipment,Current,Multiple - Phone/Laptop/Tablet/Desktop/Monitor/Headset/Other
ufCrm6SoftwareAccess,Software Access,enumeration,No,Yes,No,IT & Equipment,High,Multiple - Office 365/CRM/Accounting/Design Software/Development Tools/Other
ufCrm6AccessPermissions,Access Permissions,string,No,Yes,No,IT & Equipment,High,Multiple values
ufCrm6AccessLevel,System Access Level,enumeration,No,No,No,IT & Equipment,High,Basic User/Power User/Administrator/Super Admin
ufCrm6SecurityClearance,Security Clearance Level,enumeration,No,No,No,IT & Equipment,Medium,None/Confidential/Secret/Top Secret
ufCrm6EquipmentReturn,IT Equipment Return Tracking,string,No,No,No,IT & Equipment,High,
ufCrm6EquipmentStatus,Equipment Status,enumeration,No,No,No,IT & Equipment,High,Issued/Returned/Lost/Damaged
ufCrm6BadgeNumber,Employee ID,string,Yes,No,Yes,Employment Details,Current,
ufCrm6NetworkStatus,Network Account Status,enumeration,No,No,No,IT & Equipment,High,Active/Inactive/Suspended/Disabled
ufCrm6VpnAccess,VPN Access,boolean,No,No,No,IT & Equipment,High,
ufCrm6RemoteAccess,Remote Access Approved,boolean,No,No,No,IT & Equipment,High,
ufCrm6TrainingComplete,Required Training Completion,file,No,Yes,No,Education & Training,Medium,Multiple files
ufCrm6RequiredTraining,Required Training Status,enumeration,Yes,No,No,Education & Training,Critical,Not Started/In Progress/Completed/Expired
ufCrm6Certifications,Professional Certifications,file,No,Yes,Yes,Education & Training,TypeFix,Multiple files - TYPE MISMATCH - Currently string in UI
ufCrm6SafetyTraining,Safety Training Status,enumeration,Yes,No,No,Education & Training,Critical,Not Started/In Progress/Completed/Expired
ufCrm6TrainingRecords,Training Records,file,No,Yes,No,Education & Training,Medium,Multiple files
ufCrm6ComplianceTraining,Compliance Training Status,enumeration,Yes,No,No,Education & Training,Critical,Not Started/In Progress/Completed/Expired
ufCrm6SkillsAssessment,Skills Assessment,file,No,No,No,Education & Training,Medium,
ufCrm6TrainingDocs,Training Documents,file,No,Yes,No,Education & Training,Medium,Multiple files
ufCrm6SkillsLevel,Skills Level,enumeration,No,No,No,Education & Training,Medium,Beginner/Intermediate/Advanced/Expert
ufCrm6TrainingDate,Training Completion Date,date,No,No,No,Education & Training,Medium,
ufCrm6NextTrainingDue,Next Training Due Date,date,No,No,No,Education & Training,Medium,
ufCrm6TrainingNotes,Training Notes,string,No,No,No,Education & Training,Medium,
ufCrm6_1748054470,Office Phone Extension,string,No,No,No,Company Information,High,
ufCrm6EmploymentStatus,Employment Status,boolean,No,No,Yes,Employment Details,Current,Inactive/Active
ufCrm_6_UF_USR_1737120507262,Payment Method,enumeration,Yes,No,No,Compensation & Benefits,Critical,Direct Deposit/Check
ufCrm6EmploymentStartDate,Start Date,date,Yes,No,Yes,Employment Details,Current,
ufCrm6UfLegalAddress,Address,address,Yes,No,No,Personal Information,Critical,Structured address with map - Should replace ufCrm6Address
ufCrm_6_UF_USR_1737120327618,Automobile Insurance,file,No,No,No,Documents & Attachments,Medium,
ufCrm_6_UF_USR_1737120327618_EXPIRY,Automobile Insurance Expiry,date,No,No,No,Documents & Attachments,Medium,
ufCrm_6_UF_USR_1747966315398,Driver's License,file,No,No,No,Documents & Attachments,Medium,
ufCrm_6_UF_USR_1747966315398_EXPIRY,Driver's License Expiry,string,No,No,No,Documents & Attachments,Medium,
ufCrm_6_UF_W4_FILE,W-4 Form,file,Yes,Yes,No,Documents & Attachments,Critical,Multiple files
ufCrm_6_UF_I9_FILE,I-9 Form,file,Yes,Yes,No,Documents & Attachments,Critical,Multiple files
ufCrm6Subsidiary,Subsidiary,enumeration,Yes,No,Yes,Employment Details,Current,Construction/Painting/Windows & Doors
ufCrm_6_SALES_UF_USER_LEGAL_1740423289664,Project Category,enumeration,No,No,No,Company Information,Medium,Commercial/Community/Residential/Public Sector
ufCrm6Sales,Sales Territory,enumeration,No,No,No,Company Information,Medium,Northern/Southern
ufCrm6WcCode,WC Code,integer,No,No,No,Compensation & Benefits,High,Workers' Compensation Code
ufCrm6PreferredName,Preferred Name,string,No,No,Yes,Personal Information,Current,
ufCrm6Address,Address,string,No,No,Yes,Personal Information,TypeFix,DEPRECATED - Should use ufCrm6UfLegalAddress instead
ufCrm6EducationLevel,Education Level,string,No,No,Yes,Education & Skills,Current,
ufCrm6SchoolName,School,string,No,No,Yes,Education & Skills,Current,
ufCrm6GraduationYear,Graduation Year,string,No,No,Yes,Education & Skills,Current,
ufCrm6FieldOfStudy,Field of Study,string,No,No,Yes,Education & Skills,Current,
ufCrm6Skills,Skills,string,No,No,Yes,Education & Skills,Current,
ufCrm6SoftwareExperience,Software Experience,string,No,No,Yes,IT & Equipment,Current,
ufCrm6AdditionalInfo,Notes,string,No,No,Yes,Additional Information,Current,MAX:5000
ufCrm6Shift,Shift,string,No,No,Yes,Employment Details,Current,
